OBJECTID,WPITEM,WPITMSEG,ITMSEG,FINPROJ,RDWYLOC,BEGSECPT,ENDSECPT,RDWYSIDE,RDWYID,ITSEGMAN,WPWKMIX,WPITSTAT,MANDISDV,CONTYDOT,WPPHAZGP,WPPHAZTP,FINPRJSQ,FISCALYR,PRPLCCDE,PRPLCODE,CONTYNAM,WPWKMIXN,WPITSTNM,LOCALFULL,LOC_ERROR,Shape__Length,WPPHAZTP_DESC,Normalized_Length,PHASE_WEIGHT,risk_proxy
36595,251688,1,2516881,25168815233,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,33,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36598,251688,1,2516881,25168815202,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36603,251688,1,2516881,25168815602,5,0.0,0.102,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,6,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,170.85857422988244,Active Construction,0.014259234760168672,1.0,0.014259234760168672
36606,251688,1,2516881,25168815202,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36614,251688,1,2516881,25168815202,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
36621,251688,1,2516881,25168815230,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,30,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
36626,251688,1,2516881,25168815202,12,12.65499973,13.04800034,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,627.4630437466387,Active Construction,0.05236578195996961,1.0,0.05236578195996961
36643,251688,1,2516881,25168815230,12,12.65499973,13.04800034,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,30,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,627.4630437466387,Active Construction,0.05236578195996961,1.0,0.05236578195996961
36647,251688,1,2516881,25168815602,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,6,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36686,251688,1,2516881,25168815202,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
